Date,Pmtwo,NO,CO,AQI
01-01-2015,,0.92,0.92,
02-01-2015,,0.97,0.97,
03-01-2015,,17.4,17.4,
04-01-2015,,1.7,1.7,
05-01-2015,,22.1,22.1,
06-01-2015,,45.41,45.41,
07-01-2015,,112.16,112.16,
08-01-2015,,80.87,80.87,
09-01-2015,,29.16,29.16,
10-01-2015,,,,
11-01-2015,,132.07,132.07,
12-01-2015,,52.04,52.04,
13-01-2015,,48.82,48.82,
14-01-2015,,19.2,19.2,
15-01-2015,,0.6,0.6,
16-01-2015,,1.63,1.63,
17-01-2015,,11.44,11.44,
18-01-2015,,6.1,6.1,
19-01-2015,,2.51,2.51,
20-01-2015,,7.92,7.92,
21-01-2015,,9.52,9.52,
22-01-2015,,9.05,9.05,
23-01-2015,,22.53,22.53,
24-01-2015,,2.03,2.03,
25-01-2015,,1.42,1.42,
26-01-2015,,2.27,2.27,
27-01-2015,,2.19,2.19,
28-01-2015,73.24,5.72,5.72,
29-01-2015,83.13,6.93,6.93,209
30-01-2015,79.84,13.85,13.85,328
31-01-2015,94.52,24.39,24.39,514
01-02-2015,135.99,43.48,43.48,782
02-02-2015,178.33,54.56,54.56,914
03-02-2015,139.7,30.61,30.61,660
04-02-2015,80.65,2.37,2.37,294
05-02-2015,58.36,2.6,2.6,149
06-02-2015,79.29,1.16,1.16,190
07-02-2015,88.7,7.29,7.29,247
08-02-2015,74.28,8.92,8.92,379
09-02-2015,113.93,4.32,4.32,341
10-02-2015,105.39,1.41,1.41,256
11-02-2015,66.52,6.34,6.34,388
12-02-2015,65.04,14.19,14.19,288
13-02-2015,103.36,18.18,18.18,510
14-02-2015,177.33,37.49,37.49,761
15-02-2015,113.25,15.55,15.55,475
16-02-2015,99.7,19.85,19.85,536
17-02-2015,80.61,15.96,15.96,479
18-02-2015,100.79,16.24,16.24,592
19-02-2015,107.99,11.25,11.25,427
20-02-2015,140.29,33.84,33.84,588
21-02-2015,239.96,61.95,61.95,1141
22-02-2015,142.96,45.45,45.45,669
23-02-2015,238.41,77.7,77.7,1247
24-02-2015,118.72,12.56,12.56,411
25-02-2015,52.99,2.23,2.23,292
26-02-2015,,,,
27-02-2015,,,,
28-02-2015,,,,
01-03-2015,61.12,3.58,3.58,
02-03-2015,60.78,9.07,9.07,189
03-03-2015,91.83,12.99,12.99,408
04-03-2015,93.88,18.21,18.21,383
05-03-2015,173.01,48.44,48.44,780
06-03-2015,,,,
07-03-2015,105.45,2.5,2.5,
08-03-2015,71.56,3.51,3.51,190
09-03-2015,119.8,4.13,4.13,233
10-03-2015,106.71,5.39,5.39,297
11-03-2015,118.49,4.11,4.11,330
12-03-2015,106.01,4.28,4.28,252
13-03-2015,97.34,3.67,3.67,244
14-03-2015,83.92,6.42,6.42,234
15-03-2015,49.51,3.1,3.1,219
16-03-2015,30.76,2.72,2.72,118
17-03-2015,50.29,5.34,5.34,231
18-03-2015,57.69,25.36,25.36,286
19-03-2015,105.06,46.24,46.24,883
20-03-2015,94.1,22.14,22.14,720
21-03-2015,111.89,22.25,22.25,570
22-03-2015,108.59,25.38,25.38,589
