date,temp,humidity,windspeed,sealevelpressure,moonphase
2018-01-01,28.8,49.6,6.5,1027.7,0.47
2018-01-02,28.6,50.7,10.2,1029.1,0.5
2018-01-03,24.7,42.4,10.3,1031.1,0.53
2018-01-04,22.7,47.5,6,1028.3,0.57
2018-01-05,26.1,53.3,9.1,1021.6,0.6
2018-01-06,26.3,52.3,6.1,1023.8,0.63
2018-01-07,28.6,53.2,4.3,1022.6,0.67
2018-01-08,34.8,53.2,14.8,1012.3,0.7
2018-01-09,26.2,58.7,14,1013.5,0.75
2018-01-10,19.7,57.3,18.1,1018.3,0.77
2018-01-11,13.3,50,9.3,1026.4,0.8
2018-01-12,13.2,40.8,6.6,1031.8,0.83
2018-01-13,24.4,67,6.8,1032.3,0.87
2018-01-14,31.9,67.8,10.2,1029.8,0.9
2018-01-15,39.9,63.1,7.8,1023.9,0.93
2018-01-16,36.8,66.3,5.4,1019,0.97
2018-01-17,38.9,69,11.3,1017.9,0
2018-01-18,35.8,64.2,9.5,1023.3,0.04
2018-01-19,33.4,46,8.1,1024.7,0.07
2018-01-20,34.8,62.4,8.1,1022.9,0.1
2018-01-21,31.2,48.4,5,1023.9,0.14
2018-01-22,33,58.7,14.5,1016.4,0.17
2018-01-23,13.6,45.9,16.4,1023.8,0.21
2018-01-24,8,32.2,15.5,1029.5,0.24
2018-01-25,8,33.8,12.7,1030.7,0.25
2018-01-26,6.4,34.8,13.8,1030.2,0.31
2018-01-27,13.2,42.2,6.5,1029.7,0.35
2018-01-28,22.4,36.6,12.2,1023.2,0.38
2018-01-29,17.6,38,17.2,1024,0.42
2018-01-30,21.2,60.2,7.4,1026,0.45
2018-01-31,28.5,56.3,8.6,1027.4,0.5
2018-02-01,24.3,48.2,7.3,1029.4,0.52
2018-02-02,26.2,52.8,6.8,1028.9,0.55
2018-02-03,20.9,49.4,13.6,1028.3,0.58
2018-02-04,15.9,40.7,10.8,1028.7,0.62
2018-02-05,16.1,37.7,14.2,1026.8,0.65
2018-02-06,15.1,35.8,10.3,1025.6,0.68
2018-02-07,16.8,42.6,6.7,1026.9,0.71
2018-02-08,22.6,49.9,4.9,1025.3,0.75
2018-02-09,31.2,48.2,10.3,1023.1,0.78
2018-02-10,32.4,49.6,14.9,1021.6,0.81
2018-02-11,21.6,41.4,12.5,1022.7,0.84
2018-02-12,21.5,43.1,13.5,1022.4,0.88
2018-02-13,28.9,59.3,13.9,1022.3,0.91
2018-02-14,38.8,53.5,14.5,1017.1,0.94
2018-02-15,31.4,30.5,8.5,1022.4,0.98
2018-02-16,29.7,44.6,11.2,1019.3,0
2018-02-17,27.5,29,13.3,1024.6,0.04
2018-02-18,30.4,31.2,6.6,1026.6,0.08
2018-02-19,34,50.1,6.6,1024.6,0.11
2018-02-20,33.1,48.7,11.3,1023.6,0.15
2018-02-21,31.4,31.1,9.6,1024.5,0.19
2018-02-22,33.5,58,12.7,1022.3,0.22
2018-02-23,39.4,78.2,12.7,1020.6,0.25
2018-02-24,36.9,54.6,8.3,1027.3,0.29
2018-02-25,35.2,43.8,7.6,1025.7,0.33
2018-02-26,35.8,51,6.9,1025,0.36
2018-02-27,38.2,54,4.3,1023.6,0.4
2018-02-28,39.6,73,10.1,1012.3,0.43
2018-03-01,33.7,65,18.6,1010.6,0.47
2018-03-02,30.5,40.8,7.8,1018.9,0.5
2018-03-03,44.9,39.8,11.6,1014.6,0.54
2018-03-04,49.7,86.8,13.5,1014,0.57
2018-03-05,43,68.3,13.4,1017.1,0.6
2018-03-06,38.9,55,8.1,1029.4,0.63
2018-03-07,42.7,54.8,13.8,1028.2,0.66
2018-03-08,40.6,77.5,11,1020.4,0.7
2018-03-09,40.2,66.4,7.9,1023.2,0.75
2018-03-10,39.5,67.1,10.4,1024.3,0.76
2018-03-11,43.2,59.3,7.9,1025.4,0.79
2018-03-12,45,54.3,8.1,1022.9,0.83
2018-03-13,52.7,64.2,14.7,1019.1,0.86
2018-03-14,61.7,60.4,15.7,1019.1,0.89
2018-03-15,55.2,88.4,11.7,1013.9,0.92
2018-03-16,45.4,54.6,10.5,1023.8,0.95
2018-03-17,43.9,50.1,9,1027.8,0
2018-03-18,46.7,58.3,6.5,1022,0.02
2018-03-19,47,69.9,12.7,1016.6,0.06
2018-03-20,42.1,41.4,18.5,1023.8,0.09
2018-03-21,36.6,57.4,13.3,1018.9,0.13
2018-03-22,40.9,62.6,11.5,1015,0.16
2018-03-23,42.2,59.8,8,1019.4,0.2
2018-03-24,45.6,63.6,9.1,1022.3,0.24
2018-03-25,48.9,66.7,7.4,1024.7,0.25
2018-03-26,51.6,68.1,9.7,1022.2,0.31
2018-03-27,54.6,65.2,10.3,1018.2,0.34
2018-03-28,57.1,67.9,13.8,1017,0.38
2018-03-29,59.4,68.9,8.2,1019.8,0.41
2018-03-30,57.1,59.9,12,1023.2,0.45
2018-03-31,56.5,57.9,10.7,1020.9,0.5
2018-04-01,59.2,69.4,8.4,1017,0.52
2018-04-02,64.5,67.7,13.3,1015.8,0.55
2018-04-03,64.4,71.2,10.8,1016.8,0.58
2018-04-04,56.2,71.9,10.3,1017.8,0.62
2018-04-05,47.4,83.6,13.6,1017,0.65
2018-04-06,44.2,72.2,17.9,1011.9,0.68
2018-04-07,40.6,46.7,18.3,1013.9,0.71
